/*** CONFIGURATION INFORMATION ***/
"Linux dstat"
"netSpeed = 1000"
"netBandwidth = 1250000"
"netFullDuplex = full"
"netSpeed.eno1 = 1000"
"netBandwidth.eno1 = 1250000"
"netFullDuplex.eno1 = full"
"netSpeed.veth165e084 = 10000"
"netBandwidth.veth165e084 = 12500000"
"netFullDuplex.veth165e084 = full"
"netSpeed.veth476bbe7 = 10000"
"netBandwidth.veth476bbe7 = 12500000"
"netFullDuplex.veth476bbe7 = full"
"netSpeed.veth71caa76 = 10000"
"netBandwidth.veth71caa76 = 12500000"
"netFullDuplex.veth71caa76 = full"
"netSpeed.veth9720a50 = 10000"
"netBandwidth.veth9720a50 = 12500000"
"netFullDuplex.veth9720a50 = full"
"netSpeed.vetha7962eb = 10000"
"netBandwidth.vetha7962eb = 12500000"
"netFullDuplex.vetha7962eb = full"
"netSpeed.vethb741a0c = 10000"
"netBandwidth.vethb741a0c = 12500000"
"netFullDuplex.vethb741a0c = full"
"netSpeed.vethd8d6539 = 10000"
"netBandwidth.vethd8d6539 = 12500000"
"netFullDuplex.vethd8d6539 = full"
"netSpeed.vethfb15e38 = 10000"
"netBandwidth.vethfb15e38 = 12500000"
"netFullDuplex.vethfb15e38 = full"
"os_name = Ubuntu 16.04.5 LTS"
"cpu_model = Intel(R) Xeon(R) Gold 5217 CPU @ 3.00GHz"
"cpu_cores = 32"
"cpu_sockets = 2"
"cpu_cores_per_socket = 8"
"cpu_threads_per_core = 2"
"memory_size = 97605088"
"swap_size = 1003516"
"timezoneOffset = -07:00"
"timezoneAbbrev = PDT"
"list_of_ssd = nvme0n1(INTEL SSDPE2KX040T8                     ), nvme1n1(INTEL SSDPE2KX040T8                     ), sda(INTEL SSDSCKJB48)"
"list_of_hdd = none"
"pagesize = 4096"
"list_of_md = "
"dataVersion = 6"
"comment = "

/*** START OF PROFILING OUTPUT ***/
"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","server02",,,,"User:","builder"
"Cmdline:","dstat --nocolor --noheaders --epoch --cpu --net -N eno1,veth165e084,veth476bbe7,veth71caa76,veth9720a50,vetha7962eb,vethb741a0c,vethd8d6539,vethfb15e38,total -dD nvme0n1,nvme1n1,sda,loop0 --disk-time --disk-queue --io --mem --page --output .tmp_start_collection",,,,"Date:","25 Apr 2019 06:24:52 PDT"

"epoch","total cpu usage",,,,,,"net/eno1",,"net/veth165e084",,"net/veth476bbe7",,"net/veth71caa76",,"net/veth9720a50",,"net/vetha7962eb",,"net/vethb741a0c",,"net/vethd8d6539",,"net/vethfb15e38",,"net/total",,"dsk/nvme0n1",,"dsk/nvme1n1",,"dsk/sda",,"dsk/loop0",,"tim/nvme0n1",,"tim/nvme1n1",,"tim/sda",,"tim/loop0",,"qu/nvme0n1","qu/nvme1n1","qu/sda","qu/loop0","io/nvme0n1",,"io/nvme1n1",,"io/sda",,"io/loop0",,"memory usage",,,,"paging",
1556199186.689,49.521,7.412,40.703,0.256,0.0,2.109,10940337.0,5772128.0,2831943.0,7858915.0,2705903.0,7858252.0,2881959.0,7883934.0,0.0,0.0,2737278.0,7871923.0,25289560.0,6791524.0,0.0,0.0,0.0,0.0,55545407.0,60691760.0,0.0,116547584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20298.0,0.0,0.0,0.0,0.0,0.0,0.0,8218660864.0,1668136960.0,26877014016.0,63183798272.0,0.0,0.0
1556199187.689,49.268,7.102,41.146,0.350,0.0,2.134,10984546.0,5731481.0,2839627.0,7887379.0,2725592.0,7879049.0,2848755.0,7874807.0,0.0,0.0,2720649.0,7876306.0,25298381.0,6831952.0,0.0,0.0,0.0,0.0,55568797.0,60808653.0,0.0,114835456.0,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19876.0,0.0,0.0,0.0,3.0,0.0,0.0,8219766784.0,1668136960.0,26911830016.0,63147876352.0,0.0,0.0
1556199188.689,51.299,8.341,37.440,0.642,0.0,2.278,10896249.0,5584064.0,2807794.0,7817912.0,2671510.0,7811099.0,2776045.0,7797301.0,0.0,0.0,2659257.0,7788518.0,25112366.0,6766829.0,0.0,0.0,0.0,0.0,54823416.0,60086191.0,0.0,269041664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23434.0,0.0,0.0,0.0,0.0,0.0,0.0,8225910784.0,1668136960.0,27083038720.0,62970523648.0,0.0,0.0
1556199189.689,53.482,8.140,35.103,0.859,0.0,2.417,10785746.0,5470652.0,2762993.0,7746361.0,2637189.0,7749695.0,2726035.0,7743720.0,0.0,0.0,2603945.0,7728594.0,24917912.0,6681260.0,0.0,0.0,0.0,0.0,54178948.0,59441647.0,0.0,375222272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23825.0,0.0,0.0,0.0,0.0,0.0,0.0,8234803200.0,1668136960.0,27372965888.0,62671704064.0,0.0,0.0
1556199190.689,51.511,7.731,38.371,0.477,0.0,1.909,10886452.0,5649702.0,2804202.0,7812642.0,2698118.0,7819297.0,2820678.0,7825418.0,0.0,0.0,2695634.0,7814256.0,25112572.0,6754130.0,0.0,0.0,0.0,0.0,55042173.0,60246578.0,0.0,214347776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23466.0,0.0,0.0,0.0,0.0,0.0,0.0,8226988032.0,1668136960.0,27014705152.0,63037779968.0,0.0,0.0
1556199191.689,50.096,6.760,40.848,0.287,0.0,2.009,10761826.0,5738664.0,2859187.0,7735612.0,2676596.0,7702021.0,2822812.0,7723961.0,0.0,0.0,2712472.0,7725373.0,24777287.0,6664038.0,0.0,0.0,0.0,0.0,54690610.0,59685824.0,0.0,120074240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,21003.0,0.0,0.0,0.0,0.0,0.0,0.0,8226078720.0,1668136960.0,27052265472.0,63001128960.0,0.0,0.0
1556199192.689,50.209,6.549,40.835,0.289,0.0,2.119,10967163.0,5723963.0,2837131.0,7952548.0,2721981.0,7946478.0,2843659.0,7920550.0,0.0,0.0,2690232.0,7918852.0,25595317.0,6833089.0,0.0,0.0,0.0,0.0,55728797.0,60919076.0,0.0,117813248.0,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20418.0,0.0,0.0,0.0,3.0,0.0,0.0,8230182912.0,1668136960.0,27088060416.0,62961229824.0,0.0,0.0
1556199193.689,49.775,7.253,40.597,0.289,0.0,2.086,10842329.0,5710184.0,2822749.0,7784165.0,2726878.0,7826449.0,2835231.0,7762559.0,0.0,0.0,2691760.0,7754952.0,25105125.0,6727998.0,0.0,0.0,0.0,0.0,55101990.0,60074308.0,0.0,116371456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20238.0,0.0,0.0,0.0,0.0,0.0,0.0,8228990976.0,1668136960.0,27124981760.0,62925500416.0,0.0,0.0
1556199194.689,50.158,7.369,40.228,0.285,0.0,1.961,10885599.0,5701869.0,2825645.0,7809757.0,2708007.0,7771076.0,2834299.0,7812899.0,0.0,0.0,2676235.0,7799172.0,24960790.0,6766544.0,0.0,0.0,0.0,0.0,54934515.0,60200231.0,0.0,115068928.0,0.0,0.0,0.0,58359808.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,11488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20034.0,0.0,0.0,0.0,118.0,0.0,0.0,8224755712.0,1668136960.0,27163738112.0,62890979328.0,0.0,0.0
1556199195.689,49.001,7.216,41.366,0.322,0.0,2.094,10833755.0,5678437.0,2802536.0,7778313.0,2677271.0,7767012.0,2847415.0,7786722.0,0.0,0.0,2703609.0,7779492.0,24954681.0,6708570.0,0.0,0.0,0.0,0.0,54877960.0,60010085.0,0.0,112345088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19509.0,0.0,0.0,0.0,0.0,0.0,0.0,8229187584.0,1668136960.0,27200409600.0,62849875968.0,0.0,0.0
1556199196.689,49.887,6.762,41.119,0.291,0.0,1.941,10847849.0,5660170.0,2844568.0,7858031.0,2711452.0,7838260.0,2810627.0,7817669.0,0.0,0.0,2673040.0,7838179.0,25259859.0,6742536.0,0.0,0.0,0.0,0.0,55156039.0,60268301.0,0.0,113238016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19614.0,0.0,0.0,0.0,0.0,0.0,0.0,8229359616.0,1668136960.0,27235315712.0,62814797824.0,0.0,0.0
1556199197.689,52.286,7.856,37.154,0.580,0.0,2.125,10924725.0,5597769.0,2809160.0,7871897.0,2685345.0,7869365.0,2779867.0,7849800.0,0.0,0.0,2655118.0,7826888.0,25271198.0,6786871.0,0.0,0.0,0.0,0.0,55050429.0,60358492.0,0.0,273375232.0,0.0,0.0,0.0,86016.0,0.0,0.0,0.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23265.0,0.0,0.0,0.0,8.0,0.0,0.0,8236474368.0,1668136960.0,27411501056.0,62631497728.0,0.0,0.0
1556199198.689,54.148,8.553,34.695,0.772,0.0,1.833,10743389.0,5440448.0,2765106.0,7739053.0,2653134.0,7722649.0,2696929.0,7638180.0,0.0,0.0,2604306.0,7662241.0,24745892.0,6637704.0,0.0,0.0,0.0,0.0,53928657.0,59138125.0,0.0,374321152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1628.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23696.0,0.0,0.0,0.0,0.0,0.0,0.0,8245379072.0,1668136960.0,27701309440.0,62332784640.0,0.0,0.0
1556199199.689,51.074,7.086,39.243,0.449,0.0,2.148,10831023.0,5575389.0,2804619.0,7812822.0,2677796.0,7797047.0,2802265.0,7844959.0,0.0,0.0,2673008.0,7796929.0,25071095.0,6691038.0,0.0,0.0,0.0,0.0,54747292.0,59981672.0,0.0,220409856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23262.0,0.0,0.0,0.0,0.0,0.0,0.0,8239153152.0,1668136960.0,27335942144.0,62704377856.0,0.0,0.0
1556199200.689,50.178,6.872,40.519,0.357,0.0,2.075,10820239.0,5715707.0,2825434.0,7799993.0,2693038.0,7801041.0,2796755.0,7763134.0,0.0,0.0,2663130.0,7768750.0,25100351.0,6755882.0,0.0,0.0,0.0,0.0,54925337.0,59986427.0,0.0,120160256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20808.0,0.0,0.0,0.0,0.0,0.0,0.0,8236867584.0,1668136960.0,27376291840.0,62666313728.0,0.0,0.0
1556199201.689,50.837,6.477,40.126,0.284,0.0,2.275,10937043.0,5744470.0,2823154.0,7844052.0,2693175.0,7833386.0,2887006.0,7888083.0,0.0,0.0,2728475.0,7872310.0,25267267.0,6781627.0,0.0,0.0,0.0,0.0,55433412.0,60578354.0,0.0,116363264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20228.0,0.0,0.0,0.0,0.0,0.0,0.0,8237387776.0,1668136960.0,27411763200.0,62630322176.0,0.0,0.0
1556199202.689,50.399,6.958,40.409,0.319,0.0,1.915,10873010.0,5730742.0,2846911.0,7824939.0,2712518.0,7813623.0,2834085.0,7799612.0,0.0,0.0,2703306.0,7805908.0,25102611.0,6740464.0,0.0,0.0,0.0,0.0,55149251.0,60254596.0,0.0,117387264.0,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20338.0,0.0,0.0,0.0,3.0,0.0,0.0,8238518272.0,1668136960.0,27450716160.0,62590238720.0,0.0,0.0
1556199203.689,49.546,7.064,41.024,0.259,0.0,2.106,10872036.0,5706501.0,2848533.0,7831905.0,2712715.0,7837290.0,2822661.0,7801585.0,0.0,0.0,2692773.0,7804763.0,25115907.0,6751481.0,0.0,0.0,0.0,0.0,55156696.0,60280734.0,0.0,115023872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,19930.0,0.0,0.0,0.0,0.0,0.0,0.0,8236343296.0,1668136960.0,27485814784.0,62557315072.0,0.0,0.0
1556199204.689,50.367,6.547,40.594,0.287,0.0,2.204,10832631.0,5683873.0,2825549.0,7810957.0,2677647.0,7811677.0,2838663.0,7806414.0,0.0,0.0,2699689.0,7809218.0,25102151.0,6715414.0,0.0,107.0,0.0,0.0,55012269.0,60123981.0,0.0,113876992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19737.0,0.0,0.0,0.0,0.0,0.0,0.0,8237264896.0,1668136960.0,27524296704.0,62517911552.0,0.0,0.0
1556199205.688,50.079,7.245,39.943,0.350,0.0,2.383,10830763.0,5654937.0,2801513.0,7723912.0,2710935.0,7728746.0,2791811.0,7707876.0,0.0,0.0,2680083.0,7721909.0,24775316.0,6717620.0,0.0,0.0,0.0,0.0,54581586.0,59718384.0,0.0,119443456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19962.0,0.0,0.0,0.0,0.0,0.0,0.0,8239906816.0,1668136960.0,27543162880.0,62496403456.0,0.0,0.0
1556199206.689,52.497,7.907,36.620,0.512,0.0,2.465,10892102.0,5568670.0,2782862.0,7884044.0,2658473.0,7876542.0,2784635.0,7837812.0,0.0,0.0,2671655.0,7891215.0,25424948.0,6762719.0,0.0,0.0,0.0,0.0,55089226.0,60326062.0,0.0,271101952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23295.0,0.0,0.0,0.0,0.0,0.0,0.0,8246685696.0,1668136960.0,27713847296.0,62318940160.0,0.0,0.0
1556199207.689,55.846,7.646,33.832,0.924,0.0,1.752,10891407.0,5526850.0,2787202.0,7808261.0,2652871.0,7795146.0,2751567.0,7828183.0,0.0,0.0,2618931.0,7771153.0,25097321.0,6768804.0,0.0,0.0,0.0,0.0,54600174.0,59963423.0,0.0,383410176.0,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,1564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24526.0,0.0,0.0,0.0,3.0,0.0,0.0,8252231680.0,1668136960.0,28010483712.0,62016757760.0,0.0,0.0
1556199208.689,52.067,8.015,37.468,0.509,0.0,1.940,10846913.0,5646255.0,2815687.0,7815073.0,2693821.0,7803615.0,2793462.0,7786717.0,0.0,0.0,2649285.0,7778417.0,25095481.0,6730394.0,0.0,0.0,0.0,0.0,54853355.0,60006171.0,0.0,235814912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24256.0,0.0,0.0,0.0,0.0,0.0,0.0,8245452800.0,1668136960.0,27646406656.0,62387613696.0,0.0,0.0
1556199209.689,50.763,6.902,39.917,0.254,0.0,2.163,10839548.0,5733124.0,2848708.0,7807651.0,2686629.0,7800010.0,2805265.0,7790499.0,0.0,0.0,2723375.0,7817486.0,25106432.0,6733259.0,0.0,0.0,0.0,0.0,55083520.0,60165970.0,0.0,119418880.0,0.0,0.0,0.0,57581568.0,0.0,0.0,0.0,328.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20847.0,0.0,0.0,0.0,109.0,0.0,0.0,8245825536.0,1668136960.0,27684052992.0,62349594624.0,0.0,0.0
1556199210.689,49.488,7.591,40.359,0.352,0.0,2.210,10901941.0,5749346.0,2847265.0,7824763.0,2719224.0,7828254.0,2842304.0,7802321.0,0.0,0.0,2719059.0,7814543.0,25105086.0,6760096.0,0.0,0.0,0.0,0.0,55249677.0,60362517.0,0.0,118513664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20656.0,0.0,0.0,0.0,0.0,0.0,0.0,8247533568.0,1668136960.0,27720736768.0,62311202816.0,0.0,0.0
1556199211.689,49.061,7.092,41.483,0.324,0.0,2.040,10835567.0,5712276.0,2799900.0,7768891.0,2703518.0,7773532.0,2849834.0,7785861.0,0.0,0.0,2717963.0,7784427.0,24952009.0,6706503.0,178.0,112.0,0.0,0.0,54945404.0,60043162.0,0.0,115769344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20015.0,0.0,0.0,0.0,0.0,0.0,0.0,8247525376.0,1668136960.0,27756822528.0,62275125248.0,0.0,0.0
1556199212.688,50.081,6.167,41.091,0.260,0.0,2.402,10925772.0,5689926.0,2821851.0,7852379.0,2701571.0,7859139.0,2821055.0,7840339.0,0.0,0.0,2681071.0,7845392.0,25271389.0,6801762.0,0.0,0.0,0.0,0.0,55262563.0,60448537.0,0.0,114855936.0,0.0,0.0,0.0,90112.0,0.0,0.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20015.0,0.0,0.0,0.0,8.0,0.0,0.0,8236093440.0,1668136960.0,27795439616.0,62247940096.0,0.0,0.0
1556199213.688,50.806,6.351,40.329,0.258,0.0,2.257,10854635.0,5713076.0,2842440.0,7837226.0,2713506.0,7834641.0,2833718.0,7799170.0,0.0,0.0,2688593.0,7795666.0,25111703.0,6734144.0,0.0,0.0,0.0,0.0,55125215.0,60249583.0,0.0,122916864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20617.0,0.0,0.0,0.0,0.0,0.0,0.0,8235724800.0,1668136960.0,27823251456.0,62220496896.0,0.0,0.0
1556199214.689,48.702,7.626,41.141,0.288,0.0,2.243,10917952.0,5690951.0,2830521.0,7832553.0,2689633.0,7816264.0,2851322.0,7860704.0,0.0,0.0,2713636.0,7840426.0,25136367.0,6779544.0,0.0,0.0,0.0,0.0,55255253.0,60476050.0,0.0,112635904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19565.0,0.0,0.0,0.0,0.0,0.0,0.0,8237441024.0,1668136960.0,27855425536.0,62186606592.0,0.0,0.0
1556199215.689,52.327,7.352,37.335,0.674,0.0,2.311,10878765.0,5562287.0,2788322.0,7810836.0,2659185.0,7797247.0,2797539.0,7773152.0,0.0,0.0,2683157.0,7823027.0,25088532.0,6733867.0,0.0,0.0,0.0,0.0,54801487.0,60022775.0,0.0,281063424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23810.0,0.0,0.0,0.0,0.0,0.0,0.0,8244600832.0,1668136960.0,28039446528.0,61995425792.0,0.0,0.0
1556199216.689,54.770,8.163,34.379,0.736,0.0,1.953,10880423.0,5526693.0,2769371.0,7788428.0,2642043.0,7814571.0,2737256.0,7820046.0,0.0,0.0,2640769.0,7774219.0,25089479.0,6762785.0,84.0,84.0,0.0,0.0,54539023.0,59921863.0,0.0,377577472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24560.0,0.0,0.0,0.0,0.0,0.0,0.0,8249069568.0,1668136960.0,28330602496.0,61699801088.0,0.0,0.0
1556199217.688,50.485,8.123,38.544,0.583,0.0,2.265,10697247.0,5576624.0,2766933.0,7677392.0,2660970.0,7633646.0,2767117.0,7665012.0,0.0,0.0,2647823.0,7669556.0,24616086.0,6607306.0,0.0,0.0,0.0,0.0,54032824.0,59110691.0,0.0,239390720.0,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24284.0,0.0,0.0,0.0,3.0,0.0,0.0,8244576256.0,1668136960.0,27959476224.0,62075420672.0,0.0,0.0
1556199218.689,50.161,6.995,40.522,0.290,0.0,2.031,10962632.0,5765602.0,2866833.0,7942265.0,2722298.0,7935812.0,2847727.0,7927633.0,0.0,0.0,2692162.0,7911952.0,25591064.0,6841194.0,0.0,0.0,0.0,0.0,55795591.0,60920440.0,0.0,121540608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21106.0,0.0,0.0,0.0,0.0,0.0,0.0,8243818496.0,1668136960.0,27998261248.0,62037393408.0,0.0,0.0
1556199219.689,50.655,6.484,40.402,0.319,0.0,2.140,10905136.0,5701181.0,2837276.0,7789865.0,2695262.0,7783402.0,2817516.0,7780275.0,0.0,0.0,2708056.0,7794226.0,24952282.0,6742830.0,0.0,0.0,0.0,0.0,54989929.0,60182192.0,0.0,116891648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20439.0,0.0,0.0,0.0,0.0,0.0,0.0,8244301824.0,1668136960.0,28034854912.0,62000316416.0,0.0,0.0
1556199220.689,49.920,6.953,40.660,0.256,0.0,2.211,10852843.0,5750665.0,2840025.0,7851672.0,2737920.0,7873235.0,2853379.0,7836463.0,0.0,0.0,2701185.0,7834022.0,25273785.0,6752199.0,0.0,0.0,0.0,0.0,55370939.0,60416971.0,0.0,117219328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20347.0,0.0,0.0,0.0,0.0,0.0,0.0,8242573312.0,1668136960.0,28073639936.0,61963259904.0,0.0,0.0
1556199221.689,50.190,6.401,40.716,0.349,0.0,2.345,10918106.0,5709275.0,2825487.0,7826029.0,2710479.0,7816847.0,2832665.0,7807005.0,0.0,0.0,2700473.0,7810596.0,25119183.0,6793649.0,0.0,0.0,0.0,0.0,55185634.0,60372979.0,0.0,114188288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19772.0,0.0,0.0,0.0,0.0,0.0,0.0,8240398336.0,1668136960.0,28108918784.0,61930156032.0,0.0,0.0
1556199222.689,49.440,6.752,41.440,0.288,0.0,2.080,10859807.0,5633852.0,2794152.0,7762253.0,2661393.0,7760383.0,2830206.0,7766709.0,0.0,0.0,2683234.0,7767994.0,24938604.0,6733075.0,0.0,0.0,0.0,0.0,54731235.0,59909620.0,0.0,112189440.0,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19487.0,0.0,0.0,0.0,3.0,0.0,0.0,8241192960.0,1668136960.0,28145729536.0,61892550656.0,0.0,0.0
1556199223.689,49.936,7.161,40.452,0.255,0.0,2.196,10766847.0,5660864.0,2797206.0,7791768.0,2706789.0,7809428.0,2803164.0,7762870.0,0.0,0.0,2678424.0,7763570.0,25114910.0,6671917.0,0.0,0.0,0.0,0.0,54866603.0,59861057.0,0.0,112947200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19701.0,0.0,0.0,0.0,0.0,0.0,0.0,8244387840.0,1668136960.0,28180865024.0,61854220288.0,0.0,0.0
1556199224.689,52.930,7.834,36.529,0.669,0.0,2.038,10898188.0,5598249.0,2816862.0,7824633.0,2660343.0,7804865.0,2794061.0,7837238.0,0.0,0.0,2654215.0,7819405.0,25106332.0,6767667.0,0.0,0.0,0.0,0.0,54840075.0,60182060.0,0.0,301056000.0,0.0,0.0,0.0,57688064.0,0.0,0.0,0.0,1260.0,0.0,0.0,0.0,10864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23997.0,0.0,0.0,0.0,115.0,0.0,0.0,8244342784.0,1668136960.0,28385124352.0,61650006016.0,0.0,0.0
1556199225.689,54.581,8.036,34.266,0.836,0.0,2.282,10888105.0,5508102.0,2746456.0,7792998.0,2607148.0,7775886.0,2780787.0,7806864.0,0.0,0.0,2637340.0,7805239.0,25097414.0,6755454.0,0.0,0.0,0.0,0.0,54550095.0,59896374.0,0.0,380088320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25091.0,0.0,0.0,0.0,0.0,0.0,0.0,8255848448.0,1668136960.0,28321927168.0,61701697536.0,0.0,0.0
1556199226.689,52.414,7.889,37.078,0.505,0.0,2.114,10821659.0,5629918.0,2789426.0,7830189.0,2719303.0,7836052.0,2783798.0,7828894.0,0.0,0.0,2666382.0,7823907.0,25254341.0,6732253.0,0.0,0.0,0.0,0.0,54970164.0,60108213.0,0.0,229761024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23325.0,0.0,0.0,0.0,0.0,0.0,0.0,8243597312.0,1668136960.0,28284641280.0,61751234560.0,0.0,0.0
1556199227.689,49.921,7.758,39.905,0.318,0.0,2.099,10949776.0,5714997.0,2837652.0,7857777.0,2700421.0,7849875.0,2845759.0,7873440.0,0.0,0.0,2712133.0,7869881.0,25274794.0,6805470.0,0.0,0.0,0.0,0.0,55413272.0,60605438.0,0.0,113516544.0,0.0,0.0,0.0,86016.0,0.0,0.0,0.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,19581.0,0.0,0.0,0.0,8.0,0.0,0.0,8244867072.0,1668136960.0,28321361920.0,61713244160.0,0.0,0.0
