/*** CONFIGURATION INFORMATION ***/
"Linux dstat"
"netSpeed = 1000"
"netBandwidth = 1250000"
"netFullDuplex = full"
"netSpeed.eno1 = 1000"
"netBandwidth.eno1 = 1250000"
"netFullDuplex.eno1 = full"
"netSpeed.veth055d58e = 10000"
"netBandwidth.veth055d58e = 12500000"
"netFullDuplex.veth055d58e = full"
"netSpeed.veth4b7cb34 = 10000"
"netBandwidth.veth4b7cb34 = 12500000"
"netFullDuplex.veth4b7cb34 = full"
"netSpeed.veth53069cd = 10000"
"netBandwidth.veth53069cd = 12500000"
"netFullDuplex.veth53069cd = full"
"netSpeed.veth7851a61 = 10000"
"netBandwidth.veth7851a61 = 12500000"
"netFullDuplex.veth7851a61 = full"
"netSpeed.veth824b048 = 10000"
"netBandwidth.veth824b048 = 12500000"
"netFullDuplex.veth824b048 = full"
"netSpeed.vethdd8a625 = 10000"
"netBandwidth.vethdd8a625 = 12500000"
"netFullDuplex.vethdd8a625 = full"
"netSpeed.vethf30bd02 = 10000"
"netBandwidth.vethf30bd02 = 12500000"
"netFullDuplex.vethf30bd02 = full"
"os_name = Ubuntu 16.04.5 LTS"
"cpu_model = Intel(R) Xeon(R) Gold 5217 CPU @ 3.00GHz"
"cpu_cores = 32"
"cpu_sockets = 2"
"cpu_cores_per_socket = 8"
"cpu_threads_per_core = 2"
"memory_size = 97605088"
"swap_size = 1003516"
"timezoneOffset = -07:00"
"timezoneAbbrev = PDT"
"list_of_ssd = nvme0n1(INTEL SSDPE2KX040T8                     ), nvme1n1(INTEL SSDPE2KX040T8                     ), sda(INTEL SSDSCKJB48)"
"list_of_hdd = none"
"pagesize = 4096"
"list_of_md = "
"dataVersion = 6"
"comment = "

/*** START OF PROFILING OUTPUT ***/
"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","server02",,,,"User:","builder"
"Cmdline:","dstat --nocolor --noheaders --epoch --cpu --net -N eno1,veth055d58e,veth4b7cb34,veth53069cd,veth7851a61,veth824b048,vethdd8a625,vethf30bd02,total -dD nvme0n1,nvme1n1,sda,loop0 --disk-time --disk-queue --io --mem --page --output .tmp_start_collection",,,,"Date:","25 Apr 2019 10:11:18 PDT"

"epoch","total cpu usage",,,,,,"net/eno1",,"net/veth055d58e",,"net/veth4b7cb34",,"net/veth53069cd",,"net/veth7851a61",,"net/veth824b048",,"net/vethdd8a625",,"net/vethf30bd02",,"net/total",,"dsk/nvme0n1",,"dsk/nvme1n1",,"dsk/sda",,"dsk/loop0",,"tim/nvme0n1",,"tim/nvme1n1",,"tim/sda",,"tim/loop0",,"qu/nvme0n1","qu/nvme1n1","qu/sda","qu/loop0","io/nvme0n1",,"io/nvme1n1",,"io/sda",,"io/loop0",,"memory usage",,,,"paging",
1556213023.070,5.065,1.425,93.416,0.0,0.0,0.095,845876.0,696816.0,282886.0,71206.0,0.0,0.0,316891.0,274237.0,0.0,0.0,456948.0,365597.0,654547.0,503624.0,167974.0,183464.0,3690379.0,3831805.0,0.0,610304.0,0.0,806912.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,142.0,0.0,0.0,0.0,0.0,17675055104.0,1805295616.0,25070936064.0,55396323328.0,0.0,0.0
1556213024.070,3.082,0.818,96.006,0.031,0.0,0.063,514093.0,352008.0,267542.0,68427.0,0.0,0.0,15040.0,79403.0,0.0,0.0,305305.0,288020.0,352150.0,323029.0,141311.0,157683.0,2083623.0,2235366.0,0.0,593920.0,0.0,790528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,144.0,0.0,0.0,0.0,0.0,17676423168.0,1805295616.0,25071816704.0,55394074624.0,0.0,0.0
1556213025.069,7.179,1.511,91.058,0.0,0.0,0.252,1220867.0,829711.0,283393.0,72250.0,0.0,0.0,421567.0,390612.0,0.0,0.0,494501.0,439245.0,416724.0,400996.0,691635.0,558093.0,4721684.0,5081678.0,0.0,614400.0,0.0,798720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,141.0,0.0,0.0,0.0,0.0,17678987264.0,1805295616.0,25072762880.0,55390564352.0,0.0,0.0
1556213026.070,6.808,1.624,91.412,0.0,0.0,0.156,970773.0,665985.0,433456.0,138054.0,0.0,0.0,366896.0,379506.0,0.0,0.0,550221.0,464281.0,399064.0,402231.0,200116.0,280553.0,3852975.0,4142455.0,0.0,1064960.0,0.0,1183744.0,0.0,16384.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,0.0,206.0,0.0,3.0,0.0,0.0,17693540352.0,1805295616.0,25073553408.0,55375220736.0,0.0,0.0
1556213027.070,6.411,1.492,91.939,0.0,0.0,0.159,1166583.0,906943.0,101334.0,1743.0,0.0,0.0,602366.0,463663.0,0.0,0.0,197249.0,210293.0,631802.0,451065.0,621118.0,481676.0,4570673.0,4815465.0,0.0,274432.0,0.0,335872.0,0.0,6160384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,64.0,0.0,11.0,0.0,0.0,17729404928.0,1805295616.0,25074704384.0,55338205184.0,0.0,0.0
1556213028.070,5.862,1.670,92.342,0.0,0.0,0.126,1068672.0,680875.0,267354.0,68355.0,0.0,0.0,238141.0,314513.0,0.0,0.0,704113.0,556645.0,494717.0,433661.0,207077.0,252884.0,3960549.0,4318378.0,0.0,643072.0,0.0,786432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,140.0,0.0,0.0,0.0,0.0,17759129600.0,1805295616.0,25075572736.0,55307612160.0,0.0,0.0
1556213029.070,20.075,3.727,76.010,0.063,0.0,0.125,745569.0,610198.0,0.0,0.0,0.0,0.0,517007.0,325876.0,0.0,0.0,153487.0,140843.0,421915.0,306421.0,306467.0,234022.0,3021634.0,3141561.0,0.0,0.0,0.0,81920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,25.0,0.0,0.0,0.0,0.0,17794940928.0,1805295616.0,25076281344.0,55271092224.0,0.0,0.0
1556213030.070,7.574,1.753,90.548,0.0,0.0,0.125,1208772.0,874395.0,267813.0,72052.0,0.0,0.0,487189.0,438138.0,0.0,0.0,392995.0,351896.0,488576.0,412863.0,691472.0,558288.0,4773923.0,5085366.0,0.0,557056.0,0.0,679936.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,111.0,0.0,0.0,0.0,0.0,17804984320.0,1805295616.0,25077100544.0,55260229632.0,0.0,0.0
1556213031.069,6.264,1.221,92.358,0.0,0.0,0.157,1011529.0,756861.0,0.0,0.0,0.0,0.0,417979.0,316501.0,0.0,0.0,431718.0,300581.0,381225.0,283961.0,599375.0,432834.0,3926651.0,4165103.0,0.0,73728.0,0.0,0.0,0.0,69632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,7.0,0.0,0.0,17834086400.0,1805295616.0,25077653504.0,55230574592.0,0.0,0.0
1556213032.070,4.129,1.126,94.589,0.031,0.0,0.125,602851.0,393732.0,267133.0,67930.0,0.0,0.0,163536.0,196173.0,0.0,0.0,261750.0,270930.0,278219.0,273361.0,182314.0,213049.0,2303083.0,2499554.0,0.0,606208.0,0.0,761856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,136.0,0.0,0.0,0.0,0.0,17854144512.0,1805295616.0,25078341632.0,55209828352.0,0.0,0.0
1556213033.069,5.217,1.320,93.306,0.0,0.0,0.157,847332.0,555729.0,267494.0,71113.0,0.0,0.0,541454.0,460942.0,0.0,0.0,263227.0,262304.0,140214.0,192671.0,355281.0,352391.0,3200250.0,3472889.0,0.0,507904.0,0.0,815104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,147.0,0.0,0.0,0.0,0.0,17879269376.0,1805295616.0,25078964224.0,55184080896.0,0.0,0.0
1556213034.070,21.606,2.352,75.917,0.031,0.0,0.094,1072515.0,774485.0,0.0,264.0,0.0,0.0,520142.0,383481.0,0.0,0.0,272482.0,230376.0,494867.0,373938.0,524915.0,386851.0,3971107.0,4245556.0,0.0,139264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,17908023296.0,1805295616.0,25079812096.0,55154479104.0,0.0,0.0
1556213035.070,5.983,1.340,92.552,0.0,0.0,0.125,860614.0,584087.0,267149.0,68222.0,0.0,0.0,578751.0,488248.0,0.0,0.0,128848.0,171430.0,306629.0,283554.0,357128.0,356654.0,3329002.0,3583296.0,0.0,581632.0,0.0,806912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,145.0,0.0,0.0,0.0,0.0,17926664192.0,1805295616.0,25080639488.0,55135010816.0,0.0,0.0
1556213036.070,10.569,2.863,86.222,0.0,0.0,0.346,1788388.0,1147252.0,432601.0,137636.0,0.0,0.0,761648.0,663560.0,0.0,0.0,813547.0,686848.0,450769.0,514822.0,826247.0,745103.0,6761961.0,7357144.0,0.0,880640.0,0.0,1146880.0,0.0,16384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,200.0,0.0,3.0,0.0,0.0,18002665472.0,1805295616.0,25081368576.0,55058280448.0,0.0,0.0
1556213037.070,12.200,3.382,84.102,0.0,0.0,0.316,1877015.0,1441300.0,368504.0,73591.0,0.0,0.0,1065468.0,823858.0,0.0,0.0,750645.0,646308.0,897710.0,721614.0,652645.0,568991.0,7645740.0,8049217.0,0.0,950272.0,0.0,1110016.0,0.0,5656576.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,201.0,0.0,10.0,0.0,0.0,18112331776.0,1805295616.0,25083006976.0,54946975744.0,0.0,0.0
1556213038.070,25.333,3.683,70.730,0.0,0.0,0.254,1782628.0,1508373.0,267358.0,68246.0,0.0,0.0,1114824.0,802927.0,0.0,0.0,663022.0,533218.0,926188.0,679361.0,731083.0,556762.0,7588013.0,7844181.0,0.0,577536.0,0.0,765952.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,138.0,0.0,0.0,0.0,0.0,18184458240.0,1805295616.0,25084608512.0,54873247744.0,0.0,0.0
1556213039.070,28.692,3.942,67.115,0.0,0.0,0.250,1744844.0,1288285.0,267357.0,71921.0,0.0,0.0,662047.0,618223.0,0.0,0.0,684566.0,557071.0,1096938.0,803721.0,620175.0,482675.0,6895100.0,7327053.0,0.0,651264.0,0.0,806912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,145.0,0.0,0.0,0.0,0.0,18226282496.0,1805295616.0,25086038016.0,54829993984.0,0.0,0.0
1556213040.070,13.269,2.384,84.003,0.0,0.0,0.345,1770144.0,1506451.0,432729.0,136963.0,0.0,0.0,900771.0,606111.0,0.0,0.0,820319.0,666352.0,882649.0,704260.0,835132.0,683428.0,7739104.0,7981437.0,0.0,966656.0,0.0,1204224.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,210.0,0.0,0.0,0.0,0.0,18226941952.0,1805295616.0,25087582208.0,54827790336.0,0.0,0.0
1556213041.069,10.799,2.337,86.580,0.032,0.0,0.253,1609450.0,1211554.0,368390.0,69154.0,0.0,0.0,903134.0,730042.0,0.0,0.0,642261.0,548578.0,545708.0,473796.0,835706.0,670932.0,6635781.0,6995573.0,0.0,864256.0,0.0,1052672.0,0.0,65536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,189.0,0.0,7.0,0.0,0.0,18231255040.0,1805295616.0,25089069056.0,54821990400.0,0.0,0.0
1556213042.070,4.630,1.008,94.205,0.031,0.0,0.126,770506.0,561180.0,166178.0,69575.0,0.0,0.0,423798.0,325018.0,0.0,0.0,192190.0,161248.0,391614.0,299570.0,303327.0,308645.0,3037800.0,3229014.0,0.0,434176.0,0.0,413696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,82.0,0.0,0.0,0.0,0.0,18231767040.0,1805295616.0,25090265088.0,54820282368.0,0.0,0.0
1556213043.070,2.973,0.751,96.213,0.0,0.0,0.063,328895.0,341769.0,101268.0,1664.0,0.0,0.0,154965.0,118665.0,0.0,0.0,156293.0,140107.0,149224.0,138563.0,288592.0,161163.0,1650404.0,1652300.0,0.0,315392.0,0.0,393216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,62.0,0.0,0.0,0.0,0.0,18232356864.0,1805295616.0,25090994176.0,54818963456.0,0.0,0.0
1556213044.069,6.863,1.222,91.727,0.0,0.0,0.188,1039685.0,699447.0,267401.0,68179.0,0.0,0.0,335593.0,316042.0,0.0,0.0,489322.0,418839.0,446624.0,392809.0,453676.0,423282.0,4051168.0,4366120.0,0.0,634880.0,0.0,802816.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,146.0,0.0,0.0,0.0,0.0,18234023936.0,1805295616.0,25091399680.0,54816890880.0,0.0,0.0
1556213045.070,4.930,1.186,93.729,0.0,0.0,0.156,666191.0,491196.0,352575.0,72174.0,0.0,0.0,197034.0,224546.0,0.0,0.0,144689.0,234010.0,495796.0,453362.0,228912.0,213360.0,2755434.0,2919545.0,0.0,868352.0,0.0,1101824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,200.0,0.0,0.0,0.0,0.0,18235908096.0,1805295616.0,25092308992.0,54814097408.0,0.0,0.0
1556213046.070,7.639,1.957,90.152,0.032,0.0,0.221,1380224.0,864251.0,267417.0,66029.0,0.0,0.0,730825.0,610587.0,0.0,0.0,531867.0,506349.0,528966.0,481833.0,297043.0,347463.0,4975740.0,5457207.0,0.0,585728.0,0.0,790528.0,0.0,16384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,145.0,0.0,3.0,0.0,0.0,18259816448.0,1805299712.0,25093238784.0,54789255168.0,0.0,0.0
1556213047.070,6.572,1.572,91.698,0.0,0.0,0.157,1200703.0,928591.0,166079.0,70409.0,0.0,0.0,583592.0,454520.0,0.0,0.0,389658.0,306857.0,288583.0,266376.0,869692.0,634363.0,4798310.0,5050848.0,0.0,454656.0,0.0,421888.0,0.0,7622656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,71.0,0.0,14.0,0.0,0.0,18294054912.0,1805299712.0,25094148096.0,54754107392.0,0.0,0.0
1556213048.070,5.644,1.192,93.039,0.031,0.0,0.094,826974.0,618233.0,116666.0,1754.0,0.0,0.0,561051.0,421366.0,0.0,0.0,166131.0,178729.0,394293.0,316820.0,329523.0,281969.0,3270655.0,3469486.0,0.0,315392.0,0.0,401408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,75.0,0.0,0.0,0.0,0.0,18324922368.0,1805299712.0,25095069696.0,54722318336.0,0.0,0.0
1556213049.070,9.425,2.388,87.967,0.0,0.0,0.220,1543880.0,1153912.0,267619.0,68173.0,0.0,0.0,507069.0,452225.0,0.0,0.0,582355.0,490175.0,795259.0,633191.0,827085.0,650465.0,6165442.0,6531330.0,0.0,618496.0,0.0,757760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,136.0,0.0,0.0,0.0,0.0,18362728448.0,1805299712.0,25096118272.0,54683463680.0,0.0,0.0
1556213050.070,22.964,5.545,71.303,0.031,0.0,0.157,903173.0,669215.0,281753.0,71310.0,0.0,0.0,729754.0,570294.0,0.0,0.0,209843.0,216190.0,130498.0,169609.0,518926.0,448566.0,3737318.0,3952428.0,0.0,606208.0,0.0,770048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,135.0,0.0,0.0,0.0,0.0,18408382464.0,1805299712.0,25096982528.0,54636945408.0,0.0,0.0
1556213051.070,6.892,1.518,91.401,0.0,0.0,0.190,1153806.0,884152.0,266884.0,67694.0,0.0,0.0,353209.0,313652.0,0.0,0.0,608788.0,506560.0,763739.0,604066.0,321685.0,284917.0,4709390.0,4964838.0,0.0,614400.0,0.0,790528.0,0.0,73728.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,141.0,0.0,7.0,0.0,0.0,18408792064.0,1805299712.0,25097887744.0,54635630592.0,0.0,0.0
1556213052.069,4.817,1.251,93.775,0.0,0.0,0.156,852389.0,578407.0,166483.0,70386.0,0.0,0.0,557041.0,423279.0,0.0,0.0,350261.0,311994.0,272575.0,240713.0,195992.0,209412.0,3217223.0,3471635.0,0.0,409600.0,0.0,532480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,98.0,0.0,0.0,0.0,0.0,18409455616.0,1805299712.0,25098821632.0,54634033152.0,0.0,0.0
1556213053.070,5.512,1.260,93.102,0.0,0.0,0.126,863123.0,659885.0,116720.0,2084.0,0.0,0.0,240148.0,226996.0,0.0,0.0,285355.0,235451.0,346943.0,292089.0,658993.0,487554.0,3436138.0,3629308.0,0.0,282624.0,0.0,352256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,65.0,0.0,0.0,0.0,0.0,18437095424.0,1805299712.0,25099554816.0,54605660160.0,0.0,0.0
1556213054.070,7.373,1.361,90.949,0.032,0.0,0.285,1288911.0,871286.0,433664.0,137246.0,0.0,0.0,578544.0,522384.0,0.0,0.0,651968.0,574283.0,462226.0,457130.0,343887.0,382411.0,4987874.0,5379461.0,0.0,942080.0,0.0,1224704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,217.0,0.0,0.0,0.0,0.0,18467844096.0,1805299712.0,25100328960.0,54574137344.0,0.0,0.0
1556213055.069,7.751,1.866,90.130,0.0,0.0,0.253,1372242.0,988734.0,116592.0,1622.0,0.0,0.0,732281.0,595669.0,0.0,0.0,409457.0,332960.0,437674.0,356161.0,791555.0,623629.0,5276086.0,5636032.0,0.0,307200.0,0.0,401408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,75.0,0.0,0.0,0.0,0.0,18515415040.0,1805299712.0,25101570048.0,54525325312.0,0.0,0.0
1556213056.070,25.907,3.598,70.181,0.031,0.0,0.282,1382145.0,1054332.0,432722.0,137209.0,0.0,0.0,563858.0,470435.0,0.0,0.0,589711.0,531590.0,839408.0,674977.0,427683.0,417585.0,5711196.0,6015095.0,0.0,933888.0,0.0,1179648.0,0.0,16384.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,207.0,0.0,3.0,0.0,0.0,18549719040.0,1805299712.0,25102602240.0,54489989120.0,0.0,0.0
1556213057.070,12.911,2.310,84.304,0.0,0.0,0.475,2152273.0,1558009.0,384056.0,69633.0,0.0,0.0,1128280.0,911650.0,0.0,0.0,857632.0,702165.0,1015506.0,799752.0,861159.0,749219.0,8656310.0,9213033.0,0.0,999424.0,0.0,1179648.0,0.0,6811648.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,0.0,215.0,0.0,14.0,0.0,0.0,18551005184.0,1805299712.0,25104154624.0,54487150592.0,0.0,0.0
1556213058.070,10.635,2.283,86.738,0.0,0.0,0.344,1755197.0,1406812.0,165921.0,68438.0,0.0,0.0,866260.0,605830.0,0.0,0.0,741312.0,632439.0,986391.0,728473.0,693232.0,470600.0,7205522.0,7540101.0,0.0,204800.0,0.0,425984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,72.0,0.0,0.0,0.0,0.0,18582433792.0,1805299712.0,25105592320.0,54454284288.0,0.0,0.0
1556213059.070,10.629,2.327,86.761,0.031,0.0,0.252,1496749.0,1363657.0,384291.0,69353.0,0.0,0.0,792160.0,603088.0,0.0,0.0,696947.0,499425.0,910670.0,680677.0,659417.0,553395.0,6833130.0,6940825.0,0.0,1093632.0,0.0,1175552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,215.0,0.0,0.0,0.0,0.0,18630045696.0,1805303808.0,25107210240.0,54405050368.0,0.0,0.0
1556213060.070,18.188,3.884,77.613,0.0,0.0,0.316,1880395.0,1412876.0,447652.0,134999.0,0.0,0.0,869567.0,690571.0,0.0,0.0,922952.0,736659.0,854812.0,748820.0,711126.0,594493.0,7687641.0,8115128.0,0.0,819200.0,0.0,1253376.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,220.0,0.0,0.0,0.0,0.0,18707853312.0,1805303808.0,25108471808.0,54325981184.0,0.0,0.0
1556213061.070,20.433,3.013,76.146,0.031,0.0,0.377,1551371.0,1306253.0,369180.0,74277.0,0.0,0.0,546057.0,474184.0,0.0,0.0,796195.0,641050.0,797457.0,593821.0,898459.0,687163.0,6815410.0,7040636.0,0.0,1093632.0,0.0,1155072.0,0.0,69632.0,0.0,0.0,0.0,12.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,212.0,0.0,7.0,0.0,0.0,18764234752.0,1805303808.0,25110216704.0,54267854848.0,0.0,0.0
1556213062.070,8.049,1.754,89.915,0.031,0.0,0.251,1301980.0,941383.0,433069.0,138184.0,0.0,0.0,701006.0,589525.0,0.0,0.0,317718.0,312736.0,497871.0,436181.0,725538.0,644710.0,5311507.0,5644758.0,0.0,942080.0,0.0,1179648.0,0.0,5496832.0,0.0,0.0,0.0,4.0,0.0,16.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,207.0,0.0,9.0,0.0,0.0,18789167104.0,1805303808.0,25111736320.0,54241402880.0,0.0,0.0
1556213063.070,4.867,1.193,93.783,0.0,0.0,0.157,694064.0,632841.0,116770.0,1754.0,0.0,0.0,697669.0,497926.0,0.0,0.0,135884.0,123700.0,303397.0,233197.0,252700.0,186201.0,3064189.0,3119920.0,0.0,409600.0,0.0,397312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,74.0,0.0,0.0,0.0,0.0,18804781056.0,1805303808.0,25112944640.0,54224580608.0,0.0,0.0
1556213064.070,6.297,1.606,91.877,0.0,0.0,0.220,1148932.0,852761.0,165738.0,65981.0,0.0,0.0,649258.0,477026.0,0.0,0.0,519928.0,425898.0,521493.0,424912.0,298477.0,264408.0,4505116.0,4783181.0,0.0,274432.0,0.0,413696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,71.0,0.0,0.0,0.0,0.0,18835677184.0,1805303808.0,25113473024.0,54193156096.0,0.0,0.0
1556213065.070,3.048,0.849,95.946,0.0,0.0,0.157,557645.0,382344.0,101166.0,1635.0,0.0,0.0,230224.0,228544.0,0.0,0.0,165232.0,151354.0,206605.0,175840.0,375427.0,285393.0,2205939.0,2368026.0,0.0,299008.0,0.0,376832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,72.0,0.0,0.0,0.0,0.0,18847342592.0,1805303808.0,25114324992.0,54180638720.0,0.0,0.0
1556213066.070,25.671,3.560,70.612,0.0,0.0,0.156,879574.0,672684.0,282684.0,72193.0,0.0,0.0,62853.0,104252.0,0.0,0.0,505000.0,441513.0,459799.0,414357.0,462321.0,371141.0,3567804.0,3761252.0,0.0,655360.0,0.0,835584.0,0.0,73728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,149.0,0.0,7.0,0.0,0.0,18889056256.0,1805303808.0,25114943488.0,54138306560.0,0.0,0.0
1556213067.070,6.948,1.784,91.142,0.0,0.0,0.125,1091092.0,742127.0,267234.0,68115.0,0.0,0.0,774191.0,593477.0,0.0,0.0,219908.0,266322.0,498888.0,457956.0,253401.0,280934.0,4161531.0,4486842.0,0.0,630784.0,0.0,802816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,144.0,0.0,0.0,0.0,0.0,18893737984.0,1805303808.0,25115762688.0,54132805632.0,0.0,0.0
1556213068.070,3.286,0.876,95.743,0.0,0.0,0.094,501643.0,392474.0,0.0,0.0,0.0,0.0,362678.0,251416.0,0.0,0.0,275642.0,196644.0,146707.0,105576.0,138289.0,111861.0,1983589.0,2085452.0,0.0,90112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,18897555456.0,1805303808.0,25116430336.0,54128320512.0,0.0,0.0
